parent,child,label
"spot, building, farm",coal mine(s),True
undersea,deep,True
"spot, building, farm",free trade zone,True
"spot, building, farm",leprosarium,True
"forest, heath",tree(s),True
"city, village",historical populated place,True
"stream, lake",cutoff,True
"city, village",capital of a political entity,True
"spot, building, farm",airport,True
"parks, area",peat cutting area,True
"stream, lake",stream bend,True
"spot, building, farm",oil palm plantation,True
"spot, building, farm",triangulation station,True
"mountain, hill, rock",pan,True
"spot, building, farm",abandoned police post,True
"mountain, hill, rock",divide,True
undersea,fan,True
"spot, building, farm",cemetery,True
"spot, building, farm",mole,True
"parks, area",concession area,True
"stream, lake",canal tunnel,True
"stream, lake",navigation channel,True
"spot, building, farm",community center,True
"spot, building, farm",storehouse,True
"mountain, hill, rock",stony desert,True
"spot, building, farm",scientific research base,True
"stream, lake",current,True
"stream, lake",coral reef(s),True
"spot, building, farm",section of estate,True
undersea,banks,True
"spot, building, farm",sugar mill,True
"spot, building, farm",oil pipeline terminal,True
"spot, building, farm",gate,True
"country, state, region",historical fifth-order administrative division,True
"spot, building, farm",school,True
"stream, lake",intermittent pond,True
"spot, building, farm",office building,True
"spot, building, farm",State Exam Prep Centre,True
"mountain, hill, rock",plateau,True
"spot, building, farm",palace,True
"spot, building, farm",farmstead,True
"spot, building, farm",sugar refinery,True
"spot, building, farm",inspection station,True
"stream, lake",salt lake,True
"stream, lake",fishponds,True
"parks, area",mining area,True
undersea,rise,True
"stream, lake",intermittent salt pond(s),True
"stream, lake",anabranch,True
"spot, building, farm",ferry,True
"stream, lake",rapids,True
"mountain, hill, rock",section of plateau,True
"spot, building, farm",radio observatory,True
"mountain, hill, rock",beaches,True
"stream, lake",gulf,True
"city, village",populated locality,True
"stream, lake",well,True
"parks, area",artillery range,True
undersea,pinnacle,True
"city, village",seat of a second-order administrative division,True
"spot, building, farm",tram,True
"stream, lake",intermittent oxbow lake,True
"mountain, hill, rock",desert,True
"spot, building, farm",rubber plantation,True
undersea,continental rise,True
"country, state, region",fifth-order administrative division,True
"stream, lake",confluence,True
"spot, building, farm",post office,True
undersea,peaks,True
"parks, area",field(s),True
"spot, building, farm",sub-surface dam,True
"spot, building, farm",quay,True
"spot, building, farm",resort,True
"mountain, hill, rock",karst area,True
"parks, area",petroleum basin,True
"stream, lake",canal bend,True
"spot, building, farm",grave,True
"parks, area",economic region,True
"spot, building, farm",barracks,True
"spot, building, farm",wreck,True
undersea,shelf edge,True
"stream, lake",crater lakes,True
"stream, lake",fjord,True
"spot, building, farm",religious center,True
"mountain, hill, rock",gorge(s),True
"country, state, region",dependent political entity,True
"stream, lake",salt marsh,True
"spot, building, farm",former sugar mill,True
"mountain, hill, rock",bar,True
"road, railroad",railroad junction,True
"spot, building, farm",nuclear power station,True
"spot, building, farm",guest house,True
"forest, heath",vineyard,True
"spot, building, farm",lock(s),True
"stream, lake",intermittent stream,True
"spot, building, farm",leper colony,True
"spot, building, farm",castle,True
"spot, building, farm",abandoned mine,True
"spot, building, farm",ancient wall,True
"mountain, hill, rock",talus slope,True
"spot, building, farm",space center,True
undersea,furrow,True
"spot, building, farm",abandoned farm,True
"stream, lake",bays,True
"stream, lake",fjords,True
undersea,gully,True
"stream, lake",mud flat(s),True
"stream, lake",section of wadi,True
"spot, building, farm",foundry,True
"spot, building, farm",prison,True
"road, railroad",railroad yard,True
"spot, building, farm",military installation,True
"parks, area",locality,True
"parks, area",forest reserve,True
"spot, building, farm",breakwater,True
"mountain, hill, rock",hill,True
"spot, building, farm",temp work office,True
undersea,saddle,True
"forest, heath",tundra,True
"spot, building, farm",mosque,True
"stream, lake",icecap ridge,True
"spot, building, farm",dike,True
"parks, area",grazing area,True
"stream, lake",navigation canal(s),True
"spot, building, farm",synagogue,True
"mountain, hill, rock",escarpment,True
"mountain, hill, rock",butte(s),True
"mountain, hill, rock",slide,True
"mountain, hill, rock",hammock(s),True
"mountain, hill, rock",peninsula,True
"spot, building, farm",hermitage,True
undersea,flat,True
"spot, building, farm",baling station,True
"mountain, hill, rock",pass,True
"spot, building, farm",sanatorium,True
"spot, building, farm",museum,True
"spot, building, farm",zoo,True
undersea,hills,True
"spot, building, farm",amphitheater,True
"spot, building, farm",mission,True
"parks, area",agricultural colony,True
"spot, building, farm",church,True
"mountain, hill, rock",atoll(s),True
"spot, building, farm",spa,True
"stream, lake",reach,True
"stream, lake",icecap dome,True
"mountain, hill, rock",peak,True
undersea,bank,True
"spot, building, farm",clinic,True
"stream, lake",wells,True
"mountain, hill, rock",interfluve,True
"stream, lake",strait,True
"stream, lake",spring(s),True
"mountain, hill, rock",mesa(s),True
"spot, building, farm",iron mine(s),True
"mountain, hill, rock",volcano,True
"spot, building, farm",golf course,True
"parks, area",agricultural reserve,True
undersea,terrace,True
"mountain, hill, rock",points,True
"spot, building, farm",house(s),True
"parks, area",tribal area,True
"parks, area",industrial area,True
"parks, area",palm tree reserve,True
"spot, building, farm",heliport,True
"spot, building, farm",oil refinery,True
undersea,province,True
"city, village",farm village,True
"parks, area",snowfield,True
"spot, building, farm",research institute,True
"stream, lake",ocean,True
"stream, lake",salt lakes,True
"mountain, hill, rock",islands,True
"spot, building, farm",copper works,True
"mountain, hill, rock",upland,True
"spot, building, farm",abandoned airfield,True
"spot, building, farm",airbase,True
"spot, building, farm",abandoned prison,True
"forest, heath",meadow,True
"stream, lake",drainage canal,True
"mountain, hill, rock",shore,True
undersea,trench,True
"stream, lake",icecap,True
"mountain, hill, rock",section of plain,True
"city, village",section of populated place,True
"spot, building, farm",ferry terminal,True
"country, state, region",third-order administrative division,True
